date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:22	13721/13721	---M--	200	added ('OK')	image/jpeg	etag:%223599-55af9d052d800%22	http://localhost/gst/wp-content/uploads/2017/10/static_business-229x300.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/static_business-229x300.jpg	(from http://localhost/gst/our-work/)
13:00:23	2203/2203	---M--	200	added ('OK')	application/json	date:Thu,%2007%20Mar%202019%2013:00:22%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2Faboutus%2F	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embed4ded.json	(from http://localhost/gst/aboutus/)
13:00:24	730/730	---M--	200	added ('OK')	application/rss+xml	etag:%22fa2cefbb42d434a50ddea4f20195c95b%22	http://localhost/gst/aboutus/feed/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/aboutus/feed/index.html	(from http://localhost/gst/aboutus/)
13:00:25	2296/2296	---M--	200	added ('OK')	text/xml	date:Thu,%2007%20Mar%202019%2013:00:24%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2Faboutus%2F&format=xml	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embedff4a	(from http://localhost/gst/aboutus/)
13:00:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2013:00:25%20GMT	http://localhost/gst/?p=5	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/indexc471.html	(from http://localhost/gst/aboutus/)
13:00:29	47814/47814	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2013:00:26%20GMT	http://localhost/gst/wordpress-development/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wordpress-development/index.html	(from http://localhost/gst/?page_id=138)
13:00:32	45679/45679	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2013:00:29%20GMT	http://localhost/gst/mobile-application-app-development/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/mobile-application-app-development/index.html	(from http://localhost/gst/?page_id=144)
13:00:33	2241/2241	---M--	200	added ('OK')	application/json	date:Thu,%2007%20Mar%202019%2013:00:32%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2Fgraphic-design%2F	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embede4f4.json	(from http://localhost/gst/graphic-design/)
13:00:33	761/761	---M--	200	added ('OK')	application/rss+xml	etag:%22fa2cefbb42d434a50ddea4f20195c95b%22	http://localhost/gst/graphic-design/feed/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/graphic-design/feed/index.html	(from http://localhost/gst/graphic-design/)
13:00:34	2334/2334	---M--	200	added ('OK')	text/xml	date:Thu,%2007%20Mar%202019%2013:00:33%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2Fgraphic-design%2F&format=xml	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embedaa43	(from http://localhost/gst/graphic-design/)
13:00:35	645349/645349	---M--	200	added ('OK')	image/jpeg	etag:%229d8e5-55af9cfd8c600%22	http://localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg3.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/dynamic_dance_pg3.jpg	(from http://localhost/gst/our-work/)
13:00:35	2117/2117	---M--	200	added ('OK')	application/javascript	etag:%22845-5836fa6498d80%22	http://localhost/gst/wp-includes/js/comment-reply.min.js?ver=5.1	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-includes/js/comment-reply.minc721.js	(from http://localhost/gst/graphic-design/)
13:00:36	394606/394606	---M--	200	added ('OK')	image/jpeg	etag:%226056e-55af9d052d800%22	http://localhost/gst/wp-content/uploads/2017/10/static_business.jpg	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-content/uploads/2017/10/static_business.jpg	(from http://localhost/gst/our-work/)
13:00:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2013:00:35%20GMT	http://localhost/gst/?p=60	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/index0721.html	(from http://localhost/gst/graphic-design/)
13:00:37	45463/45463	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2013:00:35%20GMT	http://localhost/gst/who-we-are/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/who-we-are/index.html	(from http://localhost/gst/graphic-design/)
13:00:38	2360/2360	---M--	200	added ('OK')	application/json	date:Thu,%2007%20Mar%202019%2013:00:37%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2Fwebsite-under-construction%2F	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embedf736.json	(from http://localhost/gst/website-under-construction/)
13:00:38	50678/50678	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2013:00:37%20GMT	http://localhost/gst/author/admin/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/author/admin/index.html	(from http://localhost/gst/graphic-design/)
13:00:40	46490/46490	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2013:00:37%20GMT	http://localhost/gst/category/home_cat/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/category/home_cat/index.html	(from http://localhost/gst/graphic-design/)
13:00:40	2440/2440	---M--	200	added ('OK')	text/xml	date:Thu,%2007%20Mar%202019%2013:00:38%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2Fwebsite-under-construction%2F&format=xml	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embed7211	(from http://localhost/gst/website-under-construction/)
13:00:40	796/796	---M--	200	added ('OK')	application/rss+xml	etag:%22fa2cefbb42d434a50ddea4f20195c95b%22	http://localhost/gst/website-under-construction/feed/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/website-under-construction/feed/index.html	(from http://localhost/gst/website-under-construction/)
13:00:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2013:00:41%20GMT	http://localhost/gst/?p=12	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/index678b.html	(from http://localhost/gst/website-under-construction/)
13:00:44	45347/45347	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2013:00:40%20GMT	http://localhost/gst/hello-world-2/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/hello-world-2/index.html	(from http://localhost/gst/website-under-construction/)
13:00:44	45157/45157	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2013:00:41%20GMT	http://localhost/gst/category/paragraph2/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/category/paragraph2/index.html	(from http://localhost/gst/website-under-construction/)
13:00:45	2195/2195	---M--	200	added ('OK')	application/json	date:Thu,%2007%20Mar%202019%2013:00:41%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2Fhtml5-tutorials%2F	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embedccbc.json	(from http://localhost/gst/html5-tutorials/)
13:00:45	747/747	---M--	200	added ('OK')	application/rss+xml	etag:%22fa2cefbb42d434a50ddea4f20195c95b%22	http://localhost/gst/html5-tutorials/feed/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/html5-tutorials/feed/index.html	(from http://localhost/gst/html5-tutorials/)
13:00:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2013:00:45%20GMT	http://localhost/gst/?p=63	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/index2cce.html	(from http://localhost/gst/html5-tutorials/)
13:00:46	2281/2281	---M--	200	added ('OK')	text/xml	date:Thu,%2007%20Mar%202019%2013:00:45%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2Fhtml5-tutorials%2F&format=xml	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embed0a33	(from http://localhost/gst/html5-tutorials/)
13:00:47	45418/45418	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2013:00:45%20GMT	http://localhost/gst/css3-tutorial/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/css3-tutorial/index.html	(from http://localhost/gst/html5-tutorials/)
13:00:47	2171/2171	---M--	200	added ('OK')	application/json	date:Thu,%2007%20Mar%202019%2013:00:46%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2F112%2F	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embed1bfa.json	(from http://localhost/gst/112/)
13:00:48	723/723	---M--	200	added ('OK')	application/rss+xml	etag:%22fa2cefbb42d434a50ddea4f20195c95b%22	http://localhost/gst/112/feed/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/112/feed/index.html	(from http://localhost/gst/112/)
13:00:49	48415/48415	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2013:00:46%20GMT	http://localhost/gst/category/uncategorised/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/category/uncategorised/index.html	(from http://localhost/gst/html5-tutorials/)
13:00:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2013:00:49%20GMT	http://localhost/gst/?p=112	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/index8820.html	(from http://localhost/gst/112/)
13:00:51	46620/46620	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2013:00:47%20GMT	http://localhost/gst/test3/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/test3/index.html	(from http://localhost/gst/112/)
13:00:51	2257/2257	---M--	200	added ('OK')	text/xml	date:Thu,%2007%20Mar%202019%2013:00:48%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2F112%2F&format=xml	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embed3c15	(from http://localhost/gst/112/)
13:00:51	2171/2171	---M--	200	added ('OK')	application/json	date:Thu,%2007%20Mar%202019%2013:00:51%20GMT	http://localhost/gst/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fgst%2F114%2F	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/wp-json/oembed/1.0/embed5342.json	(from http://localhost/gst/114/)
13:00:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2013:00:51%20GMT	http://localhost/gst/?p=114	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/index30a5.html	(from http://localhost/gst/114/)
13:00:52	723/723	---M--	200	added ('OK')	application/rss+xml	etag:%22fa2cefbb42d434a50ddea4f20195c95b%22	http://localhost/gst/114/feed/	C:/My%20Web%20Sites/GreatStarTech/localhost/gst/114/feed/index.html	(from http://localhost/gst/114/)
